0,1,2,3,4
Fullmetal Alchemist,El Hazard: The Magnificent World,Fullmetal Alchemist: The Conqueror of Shamballa,Loveless,Choujikuu Seiki Orguss 02
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Shingeki no Kyojin Season 2,Shingeki no Kyojin: The Final Season,Shiyan Pin Jiating,Shingeki no Kyojin
Steins;Gate 0,Toaru Majutsu no Index-tan III,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Tsumiki no Ie,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu
Aria the Origination,Gintama.: Porori-hen,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama': Enchousen
Hunter x Hunter,Yume Senshi Wingman,City Hunter: The Secret Service,Cike Wu Liuqi,Ganbare Genki
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Haikyuu!! Movie 1: Owari to Hajimari,Tesagure! Bukatsumono Encore
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Dazzling White Town,Shingeki no Kyojin Season 2,God Eater Reso Nantoka Gekijou: Nagerareta Shokupan,Shingeki no Kyojin Season 3 Part 2
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai
Gintama°: Aizome Kaori-hen,Gintama°,Aria the Origination,Gintama.,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi
3-gatsu no Lion,Mushoku Tensei: Isekai Ittara Honki Dasu,Cike Wu Liuqi,Taisou Zamurai,Kaze to Ki no Uta Sanctus: Sei Naru Kana
Kaze to Ki no Uta Sanctus: Sei Naru Kana,Cike Wu Liuqi,Tsubasa to Hotaru,School Days,White Album 2 Picture Drama
Aria the Origination,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama°,Gintama': Enchousen,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi
Clannad,Clannad Movie,Ranma ½: Akumu! Shunmin Kou,Rinne no Lagrange Specials,Fushigi no Kuni no Alice
Gintama°,Aria the Origination,Nezumi Monogatari: George to Gerald no Bouken,Cike Wu Liuqi,Nobunaga Concerto
Nisoku Hokou,Gintama°,Aria the Origination,Biohazard: Vendetta,Gintama.: Porori-hen
Star Driver: Kagayaki no Takuto,Kimi no Iru Machi,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,Gakkougurashi!,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?
Bakemonogatari,Nisemonogatari,Owarimonogatari,Kizumonogatari I: Tekketsu-hen,Nekomonogatari: Kuro
Myself; Yourself,Triangle Heart: Sweet Songs Forever,Tsubasa to Hotaru,School Days,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e"
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Fate/stay night: Unlimited Blade Works,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai
Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,D.C. I&II P.S.P. Re-Animated,Sword Art Online Movie: Ordinal Scale,Eve no Jikan,Saiki Kusuo no Ψ-nan: Kanketsu-hen
Haikyuu!!: To the Top 2nd Season,Haikyuu!! Second Season,Diamond no Ace: Act II,Haikyuu!!: To the Top,Sekai Seifuku: Bouryaku no Zvezda
Mob Psycho 100,Omamori Himari,Cike Wu Liuqi,Mokei Senshi Gunpla Builders Beginning G,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen
Kizumonogatari II: Nekketsu-hen,Mamoru-kun ni Megami no Shukufuku wo!,Nekomonogatari: Kuro,Nisemonogatari,Owarimonogatari
Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai,Shounen Maid,Hatenkou Yuugi,Kino no Tabi: The Beautiful World,Rinne no Lagrange Specials
Bokutachi wa Benkyou ga Dekinai,Ginga Senpuu Braiger,Gintama.: Porori-hen,Mobile Suit Gundam AGE,Shigurui
Pokemon Best Wishes!,Lovely Movie: Itoshi no Muco Season 2,Hana no Asukagumi! 2: Lonely Cats Battle Royale,Kennosuke-sama,Acchi Kocchi (TV): Place=Princess
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",Grisaia no Meikyuu: Caprice no Mayu 0,Shuffle!,Sengoku Basara,Zegapain
Nekomonogatari: Kuro,Nisemonogatari,Kizumonogatari I: Tekketsu-hen,Owarimonogatari 2nd Season Recaps,Hachimitsu to Clover II
Shouwa Genroku Rakugo Shinjuu,Cike Wu Liuqi,Mushoku Tensei: Isekai Ittara Honki Dasu,Bakutou Sengen Daigunder,Uchuu Senkan Tiramisù
Ginga Senpuu Braiger,Seihou Bukyou Outlaw Star,Shin Kujakuou,Cowboy Bebop: Tengoku no Tobira,Urasekai Picnic
Astro Boy: Tetsuwan Atom,Ibarahime Mata wa Nemurihime,Biohazard: Vendetta,Bakutou Sengen Daigunder,Mushoku Tensei: Isekai Ittara Honki Dasu
Mushishi Zoku Shou,Mushishi: Hihamukage,Mushishi Zoku Shou: Odoro no Michi,Mushishi,Mushi-Uta
Hajime no Ippo: Rising,Hajime no Ippo: Champion Road,Hajime no Ippo: Mashiba vs. Kimura,Nisoku Hokou,Mushoku Tensei: Isekai Ittara Honki Dasu
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Made in Abyss Movie 1: Tabidachi no Yoake,Made in Abyss Movie 2: Hourou Suru Tasogare,Pandora Hearts,Tokkou
